image,generated_caption,original_caption,value1,value2
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man in a cast uses a camcorder while another man watches him,0.04525,-0.11949
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man makes a video while another watches,0.02856,-0.02747
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man with a cast films some video while another man smiles,0.01738,-0.17199
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man with a cast is using a camcorder to record an enjoyable event,-0.00838,-0.14134
3004290523_d1319dfdb4.jpg,"Output:
            Um homem de pele africana segurando uma câmera na altura do rosto.",A man with an arm cast films something on video while another man is looking at the camera,0.01361,-0.14895
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A female lawn hockey player hitting the ball,0.00043,-0.14634
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A girl in an orange uniform hits a ball in field hockey,0.10254,-0.13884
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A girl in orange is hitting the ball in field hockey,0.04590,-0.15107
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",An athletic girl in an orange uniform is on a playing field of green grass and swinging at a ball,0.15080,-0.19903
3021318991_fa28e3bca7.jpg,"Output: Uma mulher de uniforme laranja jogando hóquei de campo ao ar livre, mostrando habilidades atléticas em um cenário gramado competitivo.",A woman hockey player in an orange strip is striking the ball with her stick,0.04385,-0.23501
416650559_cd08d3cd96.jpg,"Output: Um homem vestido de Batman de pé em um corredor. Ele é um homem branco de cabelos pretos e compridos, vestindo um macacão preto e amarelo com uma capa vermelha. Ele segura uma arma escura. O ambiente é escuro e sombrio.",a man dressed in a batman costume,0.12277,-0.05246
416650559_cd08d3cd96.jpg,"Output: Um homem vestido de Batman de pé em um corredor. Ele é um homem branco de cabelos pretos e compridos, vestindo um macacão preto e amarelo com uma capa vermelha. Ele segura uma arma escura. O ambiente é escuro e sombrio.",A man dressed like late 80 's movie Batman,0.08926,0.03030
416650559_cd08d3cd96.jpg,"Output: Um homem vestido de Batman de pé em um corredor. Ele é um homem branco de cabelos pretos e compridos, vestindo um macacão preto e amarelo com uma capa vermelha. Ele segura uma arma escura. O ambiente é escuro e sombrio.",A man is posing dressed in a Batman costume,0.11306,-0.08373
416650559_cd08d3cd96.jpg,"Output: Um homem vestido de Batman de pé em um corredor. Ele é um homem branco de cabelos pretos e compridos, vestindo um macacão preto e amarelo com uma capa vermelha. Ele segura uma arma escura. O ambiente é escuro e sombrio.",A man is wearing a Batman costume with a cape,0.14831,-0.06964
416650559_cd08d3cd96.jpg,"Output: Um homem vestido de Batman de pé em um corredor. Ele é um homem branco de cabelos pretos e compridos, vestindo um macacão preto e amarelo com uma capa vermelha. Ele segura uma arma escura. O ambiente é escuro e sombrio.",A person dressed as Batman poses for a picture,0.10493,-0.12045
