image,original_caption,generated_caption,value1,value2
732468337_a37075225e.jpg,A naked baby and toddler are playing with red fingerpaints,Two young children sitting on the floor covered in paint,0.38647,0.48560
732468337_a37075225e.jpg,"A naked baby and toddler on the floor covered in paint , the toddler putting her hands on the baby 's head",Two young children sitting on the floor covered in paint,0.50554,0.73405
732468337_a37075225e.jpg,A naked baby and toddler smear each other in paint,Two young children sitting on the floor covered in paint,0.51873,0.63725
732468337_a37075225e.jpg,A naked toddler is covering a naked baby with paint,Two young children sitting on the floor covered in paint,0.43136,0.57366
732468337_a37075225e.jpg,Two naked young children smear each other with red paint,Two young children sitting on the floor covered in paint,0.57255,0.62788
918886676_3323fb2a01.jpg,A brown dog drinks from a water bottle,A dog drinking water out of a faucet,0.60492,0.82817
918886676_3323fb2a01.jpg,A tan dog has a drink from water being poured from a spout,A dog drinking water out of a faucet,0.62039,0.80974
918886676_3323fb2a01.jpg,a yellow lab drinks water,A dog drinking water out of a faucet,0.57230,0.71630
918886676_3323fb2a01.jpg,The yellow dog is drinking water from a bottle,A dog drinking water out of a faucet,0.65576,0.78839
918886676_3323fb2a01.jpg,Yellow Labrador drinking water from a faucet,A dog drinking water out of a faucet,0.76369,0.80690
