image,original_caption,generated_caption,value1,value2
2754898893_95239c1f19.jpg,Woman standing on a hill in front of the ocean,a woman standing on top of a lush green hillside,0.63529,0.80616
2771424045_1fdf9617eb.jpg,A man in blue and red face paint poses for a picture with a woman,a man and a woman with painted faces pose for a picture,0.70981,0.91875
2771424045_1fdf9617eb.jpg,A woman is being held by a man with black and red paint on his face,a man and a woman with painted faces pose for a picture,0.64788,0.79740
2771424045_1fdf9617eb.jpg,A young woman poses with a man in face paint,a man and a woman with painted faces pose for a picture,0.65382,0.87297
2771424045_1fdf9617eb.jpg,two adults hug each other,a man and a woman with painted faces pose for a picture,0.17472,0.25017
2771424045_1fdf9617eb.jpg,"Wearing identical necklaces , a woman and a man with a painted face embrace",a man and a woman with painted faces pose for a picture,0.49800,0.87588
2836360729_6500249fe6.jpg,A person buried in moss,a man is covered in seaweed on the beach,0.32845,0.60382
2836360729_6500249fe6.jpg,A woman is sitting at the beach covered by a lot of seaweed,a man is covered in seaweed on the beach,0.80589,0.77348
2836360729_6500249fe6.jpg,A woman on the beach is covered in seaweed,a man is covered in seaweed on the beach,0.87652,0.95720
2836360729_6500249fe6.jpg,A young person is buried in a pile of seaweed on a beach,a man is covered in seaweed on the beach,0.75221,0.82147
2836360729_6500249fe6.jpg,The smiling woman at the beach is buried in seaweed,a man is covered in seaweed on the beach,0.66827,0.78697
2876993733_cb26107d18.jpg,"Empty seats at a stadium , except for two people in green rain ponchos",a man in a green raincoat sitting in a stadium,0.59333,0.62317
2876993733_cb26107d18.jpg,The two people wearing green are sitting down and surrounded by empty seats,a man in a green raincoat sitting in a stadium,0.48775,0.41912
2876993733_cb26107d18.jpg,Two lonely fans in green ponchos sit in a stadium,a man in a green raincoat sitting in a stadium,0.65228,0.77320
2876993733_cb26107d18.jpg,Two people in green sit in an otherwise empty stadium,a man in a green raincoat sitting in a stadium,0.66324,0.64685
2876993733_cb26107d18.jpg,Two people wearing green raincoats sit in blue bleachers that are otherwise empty,a man in a green raincoat sitting in a stadium,0.49715,0.52560
2909609550_070eea49b5.jpg,A dog staring at the end of an ice cream cone,a small white dog eating a pastry from a person's hand,0.55872,0.63821
2909609550_070eea49b5.jpg,A shaggy white dog eyes the remaining part of an ice cream cone,a small white dog eating a pastry from a person's hand,0.57754,0.67348
2909609550_070eea49b5.jpg,A white shaggy dog wants a bite of its owners ice cream cone,a small white dog eating a pastry from a person's hand,0.52338,0.72836
2909609550_070eea49b5.jpg,Dog looking at food being held by person,a small white dog eating a pastry from a person's hand,0.45057,0.34958
2909609550_070eea49b5.jpg,The shaggy dog is looking at the last of an ice cream cone,a small white dog eating a pastry from a person's hand,0.47898,0.55117
2915538325_59e11276dd.jpg,A crowd of people in orange vests looks on as a fireball rises into the sky at an airport,a group of people standing in front of a large fire,0.45101,0.66376
2915538325_59e11276dd.jpg,A group of people watching a large explosion,a group of people standing in front of a large fire,0.70573,0.82142
2915538325_59e11276dd.jpg,A group of people wearing orange vests watch a large fire near a helicopter,a group of people standing in front of a large fire,0.57413,0.78102
2915538325_59e11276dd.jpg,People dressed in hi viz jackets are watching a helicopter fly past an explosion,a group of people standing in front of a large fire,0.28281,0.53270
2915538325_59e11276dd.jpg,The crowd is watching the fiery explosion,a group of people standing in front of a large fire,0.45983,0.36845
2925577165_b83d31a7f6.jpg,A minivan drives through a deep puddle of water on the road,a city street at night with cars driving on it,0.35827,0.64185
2925577165_b83d31a7f6.jpg,A minivan splashing through a flooded parking lot on a rainy night,a city street at night with cars driving on it,0.32874,0.64459
2925577165_b83d31a7f6.jpg,A rainy road at night,a city street at night with cars driving on it,0.52556,0.64173
2925577165_b83d31a7f6.jpg,Lights are reflecting off a city street in the evening during a rain storm,a city street at night with cars driving on it,0.53971,0.64369
2925577165_b83d31a7f6.jpg,"Minivan drives down wet urban street at night , splashing water",a city street at night with cars driving on it,0.38850,0.67780
2998277360_9b4c0192f1.jpg,"A man in a yellow slicker holds a sign saying "" down and out """,a woman sitting on a curb holding a sign,0.42408,0.66695
2998277360_9b4c0192f1.jpg,"An elderly lady in a yellow raincoat is sitting by a white building , holding up a cardboard sign to a car driving by",a woman sitting on a curb holding a sign,0.46762,0.79275
2998277360_9b4c0192f1.jpg,Elderly woman in yellow parka pan handling,a woman sitting on a curb holding a sign,0.27251,0.35561
2998277360_9b4c0192f1.jpg,Man with a yellow coat and a cardboard sign,a woman sitting on a curb holding a sign,0.25475,0.68325
2998277360_9b4c0192f1.jpg,"Older woman in yellow jacket , holds sign saying "" DOWN AND OUT "" in urban area",a woman sitting on a curb holding a sign,0.28622,0.26665
3004290523_d1319dfdb4.jpg,A man in a cast uses a camcorder while another man watches him,a man holding a camera up to his face,0.48554,0.73981
3004290523_d1319dfdb4.jpg,A man makes a video while another watches,a man holding a camera up to his face,0.49481,0.66524
3004290523_d1319dfdb4.jpg,A man with a cast films some video while another man smiles,a man holding a camera up to his face,0.40970,0.65666
3004290523_d1319dfdb4.jpg,A man with a cast is using a camcorder to record an enjoyable event,a man holding a camera up to his face,0.27959,0.68784
3004290523_d1319dfdb4.jpg,A man with an arm cast films something on video while another man is looking at the camera,a man holding a camera up to his face,0.53915,0.62827
3004291093_35d6fd8548.jpg,A man has bleached tips in his Afro style hair and is on a cellphone,a man with dreadlocks talking on a cell phone,0.58008,0.72650
3004291093_35d6fd8548.jpg,A man with black hair and blonde tips talks on his cellphone,a man with dreadlocks talking on a cell phone,0.59625,0.76785
3004291093_35d6fd8548.jpg,A man with crazy hair is sitting with his fingers in his ears,a man with dreadlocks talking on a cell phone,0.47249,0.65563
3004291093_35d6fd8548.jpg,A man with dreadlocks is plugging his ear to hear a phone call,a man with dreadlocks talking on a cell phone,0.71075,0.79514
3004291093_35d6fd8548.jpg,A person with lots of hair and a Pac-man jacket is making a phone call,a man with dreadlocks talking on a cell phone,0.36439,0.74703
3021318991_fa28e3bca7.jpg,A female lawn hockey player hitting the ball,a woman in an orange uniform playing field hockey,0.61008,0.70570
3021318991_fa28e3bca7.jpg,A girl in an orange uniform hits a ball in field hockey,a woman in an orange uniform playing field hockey,0.84834,0.89330
3021318991_fa28e3bca7.jpg,A girl in orange is hitting the ball in field hockey,a woman in an orange uniform playing field hockey,0.74455,0.76693
3021318991_fa28e3bca7.jpg,An athletic girl in an orange uniform is on a playing field of green grass and swinging at a ball,a woman in an orange uniform playing field hockey,0.67381,0.84923
3021318991_fa28e3bca7.jpg,A woman hockey player in an orange strip is striking the ball with her stick,a woman in an orange uniform playing field hockey,0.70926,0.76921
3037558954_20115165e3.jpg,A man is wind sailing in the ocean,a man riding a wind sail on top of a body of water,0.72485,0.69952
3037558954_20115165e3.jpg,A man stands on a sailboat in the water,a man riding a wind sail on top of a body of water,0.64757,0.78683
3037558954_20115165e3.jpg,A man windsurfs near the beach,a man riding a wind sail on top of a body of water,0.37362,0.58877
3037558954_20115165e3.jpg,A person is windsurfing in the water,a man riding a wind sail on top of a body of water,0.53407,0.61742
3037558954_20115165e3.jpg,A wind-surfer in near the beach,a man riding a wind sail on top of a body of water,0.32323,0.39640
3039214579_43ef79f931.jpg,A man in a yellow helmet is walking with a yellow bicycle near a group a of protesters,a man standing next to a yellow bicycle,0.65444,0.81693
3039214579_43ef79f931.jpg,A man is walking alongside a yellow bike on a sidewalk,a man standing next to a yellow bicycle,0.70026,0.80166
3039214579_43ef79f931.jpg,A man on a street with his yellow bike,a man standing next to a yellow bicycle,0.77674,0.77601
3039214579_43ef79f931.jpg,A man wearing a yellow and black helmet walks with his yellow bike,a man standing next to a yellow bicycle,0.65228,0.73087
3039214579_43ef79f931.jpg,a man wearing a yellow bike helmet walking his yellow bike along a sidewalk,a man standing next to a yellow bicycle,0.64582,0.78843
307994435_592f933a6d.jpg,A man in a red jacket is holding a piece of paper while posing,a man in a red jacket giving a thumbs up,0.69145,0.83362
307994435_592f933a6d.jpg,An Asian guy giving thumbs up with his eyes closed and tongue out,a man in a red jacket giving a thumbs up,0.45341,0.54461
307994435_592f933a6d.jpg,An Asian teenager in a red jacket has his thumb up and his tongue sticking out,a man in a red jacket giving a thumbs up,0.62541,0.71779
307994435_592f933a6d.jpg,Asian man giving thumbs up on street,a man in a red jacket giving a thumbs up,0.49909,0.57429
307994435_592f933a6d.jpg,Man in red jacket giving a thumbs-up with one hand a holding ticket in other,a man in a red jacket giving a thumbs up,0.68132,0.81539
3102204862_f1d220230b.jpg,A man is throwing another around in a wrestling ring,two men wrestling in a ring with a crowd watching,0.72167,0.77831
3102204862_f1d220230b.jpg,A wrestler is being held in the air by another man in the ring,two men wrestling in a ring with a crowd watching,0.69215,0.67862
3102204862_f1d220230b.jpg,A wrestler is being lifted off the ground by another wrestler,two men wrestling in a ring with a crowd watching,0.56066,0.63384
3102204862_f1d220230b.jpg,Professional wrestler getting flipped by another,two men wrestling in a ring with a crowd watching,0.51242,0.51253
3102204862_f1d220230b.jpg,Two people are in a wrestling match,two men wrestling in a ring with a crowd watching,0.68869,0.76607
3102363657_dc95fe6850.jpg,A boy hugging a bumble bee character,a person in a bee costume holding a child,0.60682,0.74904
3102363657_dc95fe6850.jpg,A child hugging a person in a large bee costume,a person in a bee costume holding a child,0.84394,0.92527
3102363657_dc95fe6850.jpg,A giant bee costume hugs a boy,a person in a bee costume holding a child,0.71373,0.75492
3102363657_dc95fe6850.jpg,A little boy hugging a giant bee mascot,a person in a bee costume holding a child,0.55711,0.68203
3102363657_dc95fe6850.jpg,"Small boy hugged by person in bee costume , blurry urban background",a person in a bee costume holding a child,0.56136,0.51871
3139238055_2817a0c7d8.jpg,Four people make a silly pose at the dinner table,a group of people sitting around a table,0.46782,0.65186
3139238055_2817a0c7d8.jpg,Four people smile and hold golden plates behind their heads,a group of people sitting around a table,0.30248,0.40452
3139238055_2817a0c7d8.jpg,friends posing for a picture while holding plates,a group of people sitting around a table,0.35513,0.56142
3139238055_2817a0c7d8.jpg,Two men and two women hold gold plates behind their heads,a group of people sitting around a table,0.33362,0.39518
3139238055_2817a0c7d8.jpg,Two men and women pose for a camera with large gold plates held behind their heads,a group of people sitting around a table,0.28513,0.52602
3148193539_de9dd48fc8.jpg,Three boys all wearing green shirts are climbing on a slide,a group of young men riding on the back of a bus,0.25505,0.55955
3148193539_de9dd48fc8.jpg,Three boys climb on a slide,a group of young men riding on the back of a bus,0.35898,0.58218
3148193539_de9dd48fc8.jpg,Three boys in green shirts and khaki pants are at the top of a slide,a group of young men riding on the back of a bus,0.22280,0.61540
3148193539_de9dd48fc8.jpg,Three boys wearing green shirts and tan pants pose at the top of a slide,a group of young men riding on the back of a bus,0.20679,0.59423
3148193539_de9dd48fc8.jpg,Three children are posing on a playground slide,a group of young men riding on the back of a bus,0.23942,0.54357
3169777863_d745865784.jpg,A group of dancers wearing black spandex are dancing in a studio,a group of young women standing next to each other,0.28970,0.49223
3169777863_d745865784.jpg,"A group of men and women in a dancing studio , their arms reaching to the sky",a group of young women standing next to each other,0.36919,0.68683
3169777863_d745865784.jpg,Men and women in a dance class,a group of young women standing next to each other,0.40055,0.54739
3169777863_d745865784.jpg,Men and women in dark shorts and tops are stretching their hands to the ceiling,a group of young women standing next to each other,0.18561,0.50443
3169777863_d745865784.jpg,Several women and men are lifting their arms straight up above their heads,a group of young women standing next to each other,0.29444,0.54040
3173215794_6bdd1f72d4.jpg,A woman concentrates on the device in her hand in the midst of a crowded establishment all lit in purple,a group of people standing in a room next to each other,0.37071,0.64700
3173215794_6bdd1f72d4.jpg,Inside a bar there are people with red shirts,a group of people standing in a room next to each other,0.39942,0.50873
3173215794_6bdd1f72d4.jpg,"many people line up , and a woman texts",a group of people standing in a room next to each other,0.23000,0.59271
3173215794_6bdd1f72d4.jpg,People are waiting in a line of a dimly lit restaurant with purple light,a group of people standing in a room next to each other,0.35882,0.66100
3173215794_6bdd1f72d4.jpg,People stand in line at a place with purple lighting,a group of people standing in a room next to each other,0.47365,0.55870
3174726084_c108de0a64.jpg,A flag is carried,a woman holding a large flag in her hands,0.50689,0.52326
3174726084_c108de0a64.jpg,"A red , white , black and green flag",a woman holding a large flag in her hands,0.48185,0.39942
3174726084_c108de0a64.jpg,The flag of a country is being held in a crowd,a woman holding a large flag in her hands,0.50690,0.65153
3174726084_c108de0a64.jpg,"There is a hand in front of a red , green , white , and black flag",a woman holding a large flag in her hands,0.39428,0.55567
3174726084_c108de0a64.jpg,"There is a picture of a green , white , black , and red flag",a woman holding a large flag in her hands,0.27175,0.48718
3175712926_5a470d0886.jpg,A bird is flying through the air,a large bird flying over a lush green field,0.50649,0.61310
3175712926_5a470d0886.jpg,A blue heron flying,a large bird flying over a lush green field,0.54765,0.69045
3175712926_5a470d0886.jpg,A gray egret takes flight,a large bird flying over a lush green field,0.42542,0.58186
3175712926_5a470d0886.jpg,A large bird is in mid flight,a large bird flying over a lush green field,0.63016,0.60317
3175712926_5a470d0886.jpg,A pelican flies through the air in front of trees,a large bird flying over a lush green field,0.46204,0.63162
3197891333_b1b0fd1702.jpg,"A family of nine people , including four children , pose in front of a brick fireplace with a white mantle",a family posing for a picture in front of a christmas tree,0.42593,0.71593
3197891333_b1b0fd1702.jpg,A family poses in front of the fireplace and Christmas tree,a family posing for a picture in front of a christmas tree,0.76945,0.76461
3197891333_b1b0fd1702.jpg,A family posing by the mantle and christmas tree,a family posing for a picture in front of a christmas tree,0.73270,0.70225
3197891333_b1b0fd1702.jpg,A happy family poses by the fireplace,a family posing for a picture in front of a christmas tree,0.54431,0.65724
3197891333_b1b0fd1702.jpg,Two couples and four kids pose for a family picture,a family posing for a picture in front of a christmas tree,0.44812,0.57639
3527261343_efa07ea596.jpg,A male does an open leg trick while doing a wheelie on his bike,a man riding on the back of a red motorcycle,0.46806,0.69574
3527261343_efa07ea596.jpg,A man is doing a wheelie on a motorcycle while stretching his legs outwards,a man riding on the back of a red motorcycle,0.57289,0.75978
3527261343_efa07ea596.jpg,"A man with a red , black , and white jacked on is riding on a motorcycle",a man riding on the back of a red motorcycle,0.81203,0.78202
3527261343_efa07ea596.jpg,Man puts legs up in air while riding bike,a man riding on the back of a red motorcycle,0.50129,0.52628
3527261343_efa07ea596.jpg,person riding a bike doing a while,a man riding on the back of a red motorcycle,0.47927,0.73099
3560726559_4c4bed9f2d.jpg,A man and a woman holding hands try to go their opposite ways,a man and a woman holding hands in a forest,0.67391,0.75831
3560726559_4c4bed9f2d.jpg,A well dressed young couple hold hands and pull in different directions in front of trees,a man and a woman holding hands in a forest,0.50493,0.59536
3560726559_4c4bed9f2d.jpg,A young boy wearing a suit and top hat is holding hands with a girl in a green dress,a man and a woman holding hands in a forest,0.48158,0.81721
3560726559_4c4bed9f2d.jpg,The man in the black suit and hat is holding the hand of the girl in the green dress whilst looking away from each other,a man and a woman holding hands in a forest,0.37852,0.55720
3560726559_4c4bed9f2d.jpg,Young couple in formal attire hold hands,a man and a woman holding hands in a forest,0.43858,0.42103
3613955682_3860e116cf.jpg,A group of players on a team are posing together,a group of men standing on top of a soccer field,0.35572,0.75724
3613955682_3860e116cf.jpg,a soccer team poses for a picture,a group of men standing on top of a soccer field,0.51402,0.62076
3613955682_3860e116cf.jpg,A soccer team wearing red posing together,a group of men standing on top of a soccer field,0.54125,0.59963
3613955682_3860e116cf.jpg,A sports team poses on the field,a group of men standing on top of a soccer field,0.56929,0.66589
3613955682_3860e116cf.jpg,Sports team poses on field with crowd in the background,a group of men standing on top of a soccer field,0.47790,0.62974
3614595423_f9e0ab4fb0.jpg,A bunch of kids are climbing on a tree and hamming it up,a group of children standing on top of a tree,0.57067,0.69052
3614595423_f9e0ab4fb0.jpg,Children climb a tree,a group of children standing on top of a tree,0.69862,0.58766
3614595423_f9e0ab4fb0.jpg,Children posing in a tree,a group of children standing on top of a tree,0.74799,0.61956
3614595423_f9e0ab4fb0.jpg,Eight tan children making faces in a tree,a group of children standing on top of a tree,0.52238,0.59136
3614595423_f9e0ab4fb0.jpg,"Several children are in a tree , laughing and with their hands on their chins",a group of children standing on top of a tree,0.46324,0.56009
3663951804_868982f3f9.jpg,a child doing a jump on a skateboard,a man flying through the air while riding a skateboard,0.73123,0.72240
3663951804_868982f3f9.jpg,A closeup of a man skateboarding in a skate park,a man flying through the air while riding a skateboard,0.65154,0.75110
3663951804_868982f3f9.jpg,A person skateboarding at a skate park,a man flying through the air while riding a skateboard,0.62605,0.70073
3663951804_868982f3f9.jpg,A skateboarder doing a jump,a man flying through the air while riding a skateboard,0.67733,0.65207
3663951804_868982f3f9.jpg,A skateboarder executes a jump in a skate park,a man flying through the air while riding a skateboard,0.61626,0.71753
3687996279_05b5a2a706.jpg,A man in a uniform smiling and waving at the camera,a man in a police uniform holding up a sign,0.55453,0.77700
3687996279_05b5a2a706.jpg,A man in a uniform waves while holding a banner during an event,a man in a police uniform holding up a sign,0.61823,0.78796
3687996279_05b5a2a706.jpg,A man in uniform waves and smiles at camera,a man in a police uniform holding up a sign,0.54142,0.58392
3687996279_05b5a2a706.jpg,A police officer waves at a street fair,a man in a police uniform holding up a sign,0.55503,0.68951
3687996279_05b5a2a706.jpg,"The man in a black uniform and hat , holding part of a banner , is waving",a man in a police uniform holding up a sign,0.51265,0.68920
391324644_d23fdf06cb.jpg,A guy on inline skates with a white hat is on a yellow rail,a man riding a skateboard on top of a yellow rail,0.64421,0.85403
391324644_d23fdf06cb.jpg,a male skater is riding a yellow rail,a man riding a skateboard on top of a yellow rail,0.81507,0.83160
391324644_d23fdf06cb.jpg,A man Rollerblades across a yellow pole at night,a man riding a skateboard on top of a yellow rail,0.64910,0.74303
391324644_d23fdf06cb.jpg,An inline skater boy balances on a yellow rail,a man riding a skateboard on top of a yellow rail,0.69374,0.75212
391324644_d23fdf06cb.jpg,A skater does a trick on a yellow handrail,a man riding a skateboard on top of a yellow rail,0.66445,0.76415
416650559_cd08d3cd96.jpg,a man dressed in a batman costume,a man in a batman costume standing in a hall,0.84335,0.87258
416650559_cd08d3cd96.jpg,A man dressed like late 80 's movie Batman,a man in a batman costume standing in a hall,0.63786,0.37196
416650559_cd08d3cd96.jpg,A man is posing dressed in a Batman costume,a man in a batman costume standing in a hall,0.81454,0.77650
416650559_cd08d3cd96.jpg,A man is wearing a Batman costume with a cape,a man in a batman costume standing in a hall,0.77954,0.74962
416650559_cd08d3cd96.jpg,A person dressed as Batman poses for a picture,a man in a batman costume standing in a hall,0.60505,0.58606
481827288_a688be7913.jpg,Two brown dog play together in the water,two dogs playing in the water at the beach,0.70449,0.80344
481827288_a688be7913.jpg,Two brown dogs playing in water,two dogs playing in the water at the beach,0.72502,0.69654
481827288_a688be7913.jpg,Two dogs playing in the ocean,two dogs playing in the water at the beach,0.82978,0.88877
481827288_a688be7913.jpg,Two dogs play in the water,two dogs playing in the water at the beach,0.84373,0.87295
481827288_a688be7913.jpg,Two identical brown dogs in the water with their noses in the air,two dogs playing in the water at the beach,0.62312,0.76098
485738889_c2a00876a6.jpg,"A baby being held by a small girl , swimming underwater in a blue pool",a couple of kids in a swimming pool,0.53648,0.74653
485738889_c2a00876a6.jpg,A child supports a toddler underwater in a pool,a couple of kids in a swimming pool,0.63696,0.75363
485738889_c2a00876a6.jpg,A small girl and a toddler swimming underwater in a pool,a couple of kids in a swimming pool,0.65553,0.80947
485738889_c2a00876a6.jpg,A young girl and baby boy are swimming underwater in a pool,a couple of kids in a swimming pool,0.60488,0.74412
485738889_c2a00876a6.jpg,Two children smile underwater,a couple of kids in a swimming pool,0.45671,0.40195
513269597_c38308feaf.jpg,A black dog carries a bucket in its mouth,a black dog carrying a white frisbee in its mouth,0.64788,0.88413
513269597_c38308feaf.jpg,A black dog carrying a hanging flower pot,a black dog carrying a white frisbee in its mouth,0.60366,0.78273
513269597_c38308feaf.jpg,A dog next to pine tree biting on a bucket,a black dog carrying a white frisbee in its mouth,0.39370,0.61406
513269597_c38308feaf.jpg,A furry black dog in a backyard carrying a basket in its mouth,a black dog carrying a white frisbee in its mouth,0.65834,0.90559
513269597_c38308feaf.jpg,A furry dog is walking by green trees while carrying something in its mouth,a black dog carrying a white frisbee in its mouth,0.54198,0.70085
536537638_f5ee42410b.jpg,A group of people wait in similar attire,a group of women wearing red hats and scarves,0.26446,0.53643
536537638_f5ee42410b.jpg,an asian girl wearing a red hat along side several others with red hats as well,a group of women wearing red hats and scarves,0.63349,0.74628
536537638_f5ee42410b.jpg,A small group of Asian women wearing red head scarves and black shirts are shopping,a group of women wearing red hats and scarves,0.65457,0.87035
536537638_f5ee42410b.jpg,five Japanese ladies wear red bandanas,a group of women wearing red hats and scarves,0.56458,0.73233
536537638_f5ee42410b.jpg,Several asian women wearing red cloths on their heads,a group of women wearing red hats and scarves,0.55348,0.73822
