image,generated_caption,original_caption,value1,value2
2521878609_146143708e.jpg,a young boy eating a plate of noodles with a fork,Boy sticks huge pile of spaghetti in mouth,0.54400,0.47792
2521878609_146143708e.jpg,a young boy eating a plate of noodles with a fork,kid eating pasta,0.56684,0.52888
2579268572_d78f8436cb.jpg,a roller coaster with a bunch of people on it,A group of people riding a roller coaster upside down,0.80228,0.77796
2579268572_d78f8436cb.jpg,a roller coaster with a bunch of people on it,A group of people riding a yellow roller coaster,0.74430,0.78204
2579268572_d78f8436cb.jpg,a roller coaster with a bunch of people on it,Many people on a roller coaster ride are flipped upside down over a white track,0.59624,0.76776
2579268572_d78f8436cb.jpg,a roller coaster with a bunch of people on it,People ride upside-down on a roller coaster,0.75917,0.62226
2579268572_d78f8436cb.jpg,a roller coaster with a bunch of people on it,There are multiple people going over a loop on an inverted roller coaster,0.67146,0.74758
2611651553_61f859837e.jpg,a woman with face paint on her body,A naked woman with her body painted,0.66492,0.81747
2611651553_61f859837e.jpg,a woman with face paint on her body,A nude lady walks in front of a crowd in body paint,0.51061,0.66729
2611651553_61f859837e.jpg,a woman with face paint on her body,A shirtless woman with paint on her face and mud on her body,0.71075,0.91384
2611651553_61f859837e.jpg,a woman with face paint on her body,A topless woman with her face painted is covered in mud,0.53242,0.75417
2611651553_61f859837e.jpg,a woman with face paint on her body,"A young woman , topless except for paint or mud",0.41195,0.50290
2683985894_167d267dcb.jpg,a woman dressed as a clown on a cell phone,A clown in an orange shirt entertains a crowd,0.58098,0.68384
2683985894_167d267dcb.jpg,a woman dressed as a clown on a cell phone,A girl in a orange shirt and a stripe tie,0.39340,0.69758
2683985894_167d267dcb.jpg,a woman dressed as a clown on a cell phone,A girl in orange shirt and clown makeup stands in a park while others look on,0.57945,0.61206
2683985894_167d267dcb.jpg,a woman dressed as a clown on a cell phone,The woman dressed as a clown is performing outside for others,0.66737,0.63600
2683985894_167d267dcb.jpg,a woman dressed as a clown on a cell phone,The young lady appears to be a mime among her peers,0.23070,0.55950
2704379125_9c35650d16.jpg,a herd of sheep walking across a lush green field,A black dog follows a group of sheep walking in a field of grass,0.66448,0.84503
2704379125_9c35650d16.jpg,a herd of sheep walking across a lush green field,a black sheepdog is guiding sheep along a grassy path,0.56550,0.78895
2704379125_9c35650d16.jpg,a herd of sheep walking across a lush green field,A dog chasing sheep down a county road,0.57406,0.69828
2704379125_9c35650d16.jpg,a herd of sheep walking across a lush green field,A sheepdog is herding sheep down a grassy path,0.61643,0.78598
2704379125_9c35650d16.jpg,a herd of sheep walking across a lush green field,Black dog following a herd of sheep down a grassy lane,0.64425,0.79249
272546805_536c719648.jpg,a couple of dogs that are standing in the dirt,A brown dog and a black dog are playing tug of war with a toy,0.41872,0.56016
272546805_536c719648.jpg,a couple of dogs that are standing in the dirt,A large brown dog is playing tug-of-war with a large black dog,0.40050,0.47280
272546805_536c719648.jpg,a couple of dogs that are standing in the dirt,The brown dog and the black dog with green harnesses are in the sand,0.38489,0.62160
272546805_536c719648.jpg,a couple of dogs that are standing in the dirt,Two brown dogs with green harnesses play tug of war,0.35415,0.48995
272546805_536c719648.jpg,a couple of dogs that are standing in the dirt,Two dogs play with a toy,0.42972,0.45839
2727051596_be65bfb3d3.jpg,two boys in a play area with a colorful umbrella,The two children are on an amusement park ride,0.38756,0.43115
2727051596_be65bfb3d3.jpg,two boys in a play area with a colorful umbrella,The young boy in the orange shirt is sticking his tongue out while riding a ride,0.24400,0.56371
2727051596_be65bfb3d3.jpg,two boys in a play area with a colorful umbrella,Two boys enjoy a ride at an amusement park,0.49975,0.57449
2727051596_be65bfb3d3.jpg,two boys in a play area with a colorful umbrella,"Two little boys playing a game , one with his mouth wide open",0.39804,0.73749
2727051596_be65bfb3d3.jpg,two boys in a play area with a colorful umbrella,Two little boys ride in a fairground ride,0.47208,0.58478
2754898893_95239c1f19.jpg,a woman standing on top of a lush green hillside,A woman smiles in front of an ocean view,0.45232,0.63294
2754898893_95239c1f19.jpg,a woman standing on top of a lush green hillside,A woman standing in front of a beach scene and smiling,0.48341,0.74702
2754898893_95239c1f19.jpg,a woman standing on top of a lush green hillside,a young woman posing in front of a beautiful beach scene,0.39252,0.77645
2754898893_95239c1f19.jpg,a woman standing on top of a lush green hillside,The woman in glasses is smiling with the ocean in the background,0.32367,0.46533
2754898893_95239c1f19.jpg,a woman standing on top of a lush green hillside,Woman standing on a hill in front of the ocean,0.63529,0.80616
2771424045_1fdf9617eb.jpg,a man and a woman with painted faces pose for a picture,A man in blue and red face paint poses for a picture with a woman,0.70981,0.91875
2771424045_1fdf9617eb.jpg,a man and a woman with painted faces pose for a picture,A woman is being held by a man with black and red paint on his face,0.64788,0.79740
2771424045_1fdf9617eb.jpg,a man and a woman with painted faces pose for a picture,A young woman poses with a man in face paint,0.65382,0.87297
2771424045_1fdf9617eb.jpg,a man and a woman with painted faces pose for a picture,two adults hug each other,0.17472,0.25017
2771424045_1fdf9617eb.jpg,a man and a woman with painted faces pose for a picture,"Wearing identical necklaces , a woman and a man with a painted face embrace",0.49800,0.87588
2836360729_6500249fe6.jpg,a man is covered in seaweed on the beach,A person buried in moss,0.32845,0.60382
2836360729_6500249fe6.jpg,a man is covered in seaweed on the beach,A woman is sitting at the beach covered by a lot of seaweed,0.80589,0.77348
2836360729_6500249fe6.jpg,a man is covered in seaweed on the beach,A woman on the beach is covered in seaweed,0.87652,0.95720
2836360729_6500249fe6.jpg,a man is covered in seaweed on the beach,A young person is buried in a pile of seaweed on a beach,0.75221,0.82147
2836360729_6500249fe6.jpg,a man is covered in seaweed on the beach,The smiling woman at the beach is buried in seaweed,0.66827,0.78697
2876993733_cb26107d18.jpg,a man in a green raincoat sitting in a stadium,"Empty seats at a stadium , except for two people in green rain ponchos",0.59333,0.62317
2876993733_cb26107d18.jpg,a man in a green raincoat sitting in a stadium,The two people wearing green are sitting down and surrounded by empty seats,0.48775,0.41912
2876993733_cb26107d18.jpg,a man in a green raincoat sitting in a stadium,Two lonely fans in green ponchos sit in a stadium,0.65228,0.77320
2876993733_cb26107d18.jpg,a man in a green raincoat sitting in a stadium,Two people in green sit in an otherwise empty stadium,0.66324,0.64685
2876993733_cb26107d18.jpg,a man in a green raincoat sitting in a stadium,Two people wearing green raincoats sit in blue bleachers that are otherwise empty,0.49715,0.52560
2909609550_070eea49b5.jpg,a small white dog eating a pastry from a person's hand,A dog staring at the end of an ice cream cone,0.55872,0.63821
2909609550_070eea49b5.jpg,a small white dog eating a pastry from a person's hand,A shaggy white dog eyes the remaining part of an ice cream cone,0.57754,0.67348
2909609550_070eea49b5.jpg,a small white dog eating a pastry from a person's hand,A white shaggy dog wants a bite of its owners ice cream cone,0.52338,0.72836
2909609550_070eea49b5.jpg,a small white dog eating a pastry from a person's hand,Dog looking at food being held by person,0.45057,0.34958
2909609550_070eea49b5.jpg,a small white dog eating a pastry from a person's hand,The shaggy dog is looking at the last of an ice cream cone,0.47898,0.55117
2915538325_59e11276dd.jpg,a group of people standing in front of a large fire,A crowd of people in orange vests looks on as a fireball rises into the sky at an airport,0.45101,0.66376
2915538325_59e11276dd.jpg,a group of people standing in front of a large fire,A group of people watching a large explosion,0.70573,0.82142
2915538325_59e11276dd.jpg,a group of people standing in front of a large fire,A group of people wearing orange vests watch a large fire near a helicopter,0.57413,0.78102
2915538325_59e11276dd.jpg,a group of people standing in front of a large fire,People dressed in hi viz jackets are watching a helicopter fly past an explosion,0.28281,0.53270
2915538325_59e11276dd.jpg,a group of people standing in front of a large fire,The crowd is watching the fiery explosion,0.45983,0.36845
2925577165_b83d31a7f6.jpg,a city street at night with cars driving on it,A minivan drives through a deep puddle of water on the road,0.35827,0.64185
2925577165_b83d31a7f6.jpg,a city street at night with cars driving on it,A minivan splashing through a flooded parking lot on a rainy night,0.32874,0.64459
2925577165_b83d31a7f6.jpg,a city street at night with cars driving on it,A rainy road at night,0.52556,0.64173
2925577165_b83d31a7f6.jpg,a city street at night with cars driving on it,Lights are reflecting off a city street in the evening during a rain storm,0.53971,0.64369
2925577165_b83d31a7f6.jpg,a city street at night with cars driving on it,"Minivan drives down wet urban street at night , splashing water",0.38850,0.67780
2998277360_9b4c0192f1.jpg,a woman sitting on a curb holding a sign,"A man in a yellow slicker holds a sign saying "" down and out """,0.42408,0.66695
2998277360_9b4c0192f1.jpg,a woman sitting on a curb holding a sign,"An elderly lady in a yellow raincoat is sitting by a white building , holding up a cardboard sign to a car driving by",0.46762,0.79275
2998277360_9b4c0192f1.jpg,a woman sitting on a curb holding a sign,Elderly woman in yellow parka pan handling,0.27251,0.35561
2998277360_9b4c0192f1.jpg,a woman sitting on a curb holding a sign,Man with a yellow coat and a cardboard sign,0.25475,0.68325
2998277360_9b4c0192f1.jpg,a woman sitting on a curb holding a sign,"Older woman in yellow jacket , holds sign saying "" DOWN AND OUT "" in urban area",0.28622,0.26665
3004291093_35d6fd8548.jpg,a man with dreadlocks talking on a cell phone,A man has bleached tips in his Afro style hair and is on a cellphone,0.58008,0.72650
3004291093_35d6fd8548.jpg,a man with dreadlocks talking on a cell phone,A man with black hair and blonde tips talks on his cellphone,0.59625,0.76785
3004291093_35d6fd8548.jpg,a man with dreadlocks talking on a cell phone,A man with crazy hair is sitting with his fingers in his ears,0.47249,0.65563
3004291093_35d6fd8548.jpg,a man with dreadlocks talking on a cell phone,A man with dreadlocks is plugging his ear to hear a phone call,0.71075,0.79514
3004291093_35d6fd8548.jpg,a man with dreadlocks talking on a cell phone,A person with lots of hair and a Pac-man jacket is making a phone call,0.36439,0.74703
3021318991_fa28e3bca7.jpg,a woman in an orange uniform playing field hockey,A female lawn hockey player hitting the ball,0.61008,0.70570
3021318991_fa28e3bca7.jpg,a woman in an orange uniform playing field hockey,A girl in an orange uniform hits a ball in field hockey,0.84834,0.89330
3021318991_fa28e3bca7.jpg,a woman in an orange uniform playing field hockey,A girl in orange is hitting the ball in field hockey,0.74455,0.76693
3021318991_fa28e3bca7.jpg,a woman in an orange uniform playing field hockey,An athletic girl in an orange uniform is on a playing field of green grass and swinging at a ball,0.67381,0.84923
3021318991_fa28e3bca7.jpg,a woman in an orange uniform playing field hockey,A woman hockey player in an orange strip is striking the ball with her stick,0.70926,0.76921
3037558954_20115165e3.jpg,a man riding a wind sail on top of a body of water,A man is wind sailing in the ocean,0.72485,0.69952
3037558954_20115165e3.jpg,a man riding a wind sail on top of a body of water,A man stands on a sailboat in the water,0.64757,0.78683
3037558954_20115165e3.jpg,a man riding a wind sail on top of a body of water,A man windsurfs near the beach,0.37362,0.58877
3037558954_20115165e3.jpg,a man riding a wind sail on top of a body of water,A person is windsurfing in the water,0.53407,0.61742
3037558954_20115165e3.jpg,a man riding a wind sail on top of a body of water,A wind-surfer in near the beach,0.32323,0.39640
3039214579_43ef79f931.jpg,a man standing next to a yellow bicycle,A man in a yellow helmet is walking with a yellow bicycle near a group a of protesters,0.65444,0.81693
3039214579_43ef79f931.jpg,a man standing next to a yellow bicycle,A man is walking alongside a yellow bike on a sidewalk,0.70026,0.80166
3039214579_43ef79f931.jpg,a man standing next to a yellow bicycle,A man on a street with his yellow bike,0.77674,0.77601
3039214579_43ef79f931.jpg,a man standing next to a yellow bicycle,A man wearing a yellow and black helmet walks with his yellow bike,0.65228,0.73087
3039214579_43ef79f931.jpg,a man standing next to a yellow bicycle,a man wearing a yellow bike helmet walking his yellow bike along a sidewalk,0.64582,0.78843
307994435_592f933a6d.jpg,a man in a red jacket giving a thumbs up,A man in a red jacket is holding a piece of paper while posing,0.69145,0.83362
307994435_592f933a6d.jpg,a man in a red jacket giving a thumbs up,An Asian guy giving thumbs up with his eyes closed and tongue out,0.45341,0.54461
307994435_592f933a6d.jpg,a man in a red jacket giving a thumbs up,An Asian teenager in a red jacket has his thumb up and his tongue sticking out,0.62541,0.71779
307994435_592f933a6d.jpg,a man in a red jacket giving a thumbs up,Asian man giving thumbs up on street,0.49909,0.57429
307994435_592f933a6d.jpg,a man in a red jacket giving a thumbs up,Man in red jacket giving a thumbs-up with one hand a holding ticket in other,0.68132,0.81539
3102204862_f1d220230b.jpg,two men wrestling in a ring with a crowd watching,A man is throwing another around in a wrestling ring,0.72167,0.77831
3102204862_f1d220230b.jpg,two men wrestling in a ring with a crowd watching,A wrestler is being held in the air by another man in the ring,0.69215,0.67862
3102204862_f1d220230b.jpg,two men wrestling in a ring with a crowd watching,A wrestler is being lifted off the ground by another wrestler,0.56066,0.63384
3102204862_f1d220230b.jpg,two men wrestling in a ring with a crowd watching,Professional wrestler getting flipped by another,0.51242,0.51253
3102204862_f1d220230b.jpg,two men wrestling in a ring with a crowd watching,Two people are in a wrestling match,0.68869,0.76607
3102363657_dc95fe6850.jpg,a person in a bee costume holding a child,A boy hugging a bumble bee character,0.60682,0.74904
3102363657_dc95fe6850.jpg,a person in a bee costume holding a child,A child hugging a person in a large bee costume,0.84394,0.92527
3102363657_dc95fe6850.jpg,a person in a bee costume holding a child,A giant bee costume hugs a boy,0.71373,0.75492
3102363657_dc95fe6850.jpg,a person in a bee costume holding a child,A little boy hugging a giant bee mascot,0.55711,0.68203
3102363657_dc95fe6850.jpg,a person in a bee costume holding a child,"Small boy hugged by person in bee costume , blurry urban background",0.56136,0.51871
3139238055_2817a0c7d8.jpg,a group of people sitting around a table,Four people make a silly pose at the dinner table,0.46782,0.65186
3139238055_2817a0c7d8.jpg,a group of people sitting around a table,Four people smile and hold golden plates behind their heads,0.30248,0.40452
3139238055_2817a0c7d8.jpg,a group of people sitting around a table,friends posing for a picture while holding plates,0.35513,0.56142
3139238055_2817a0c7d8.jpg,a group of people sitting around a table,Two men and two women hold gold plates behind their heads,0.33362,0.39518
3139238055_2817a0c7d8.jpg,a group of people sitting around a table,Two men and women pose for a camera with large gold plates held behind their heads,0.28513,0.52602
3148193539_de9dd48fc8.jpg,a group of young men riding on the back of a bus,Three boys all wearing green shirts are climbing on a slide,0.25505,0.55955
3148193539_de9dd48fc8.jpg,a group of young men riding on the back of a bus,Three boys climb on a slide,0.35898,0.58218
3148193539_de9dd48fc8.jpg,a group of young men riding on the back of a bus,Three boys in green shirts and khaki pants are at the top of a slide,0.22280,0.61540
3148193539_de9dd48fc8.jpg,a group of young men riding on the back of a bus,Three boys wearing green shirts and tan pants pose at the top of a slide,0.20679,0.59423
3148193539_de9dd48fc8.jpg,a group of young men riding on the back of a bus,Three children are posing on a playground slide,0.23942,0.54357
3169777863_d745865784.jpg,a group of young women standing next to each other,A group of dancers wearing black spandex are dancing in a studio,0.28970,0.49223
3169777863_d745865784.jpg,a group of young women standing next to each other,"A group of men and women in a dancing studio , their arms reaching to the sky",0.36919,0.68683
3169777863_d745865784.jpg,a group of young women standing next to each other,Men and women in a dance class,0.40055,0.54739
3169777863_d745865784.jpg,a group of young women standing next to each other,Men and women in dark shorts and tops are stretching their hands to the ceiling,0.18561,0.50443
3169777863_d745865784.jpg,a group of young women standing next to each other,Several women and men are lifting their arms straight up above their heads,0.29444,0.54040
3173215794_6bdd1f72d4.jpg,a group of people standing in a room next to each other,A woman concentrates on the device in her hand in the midst of a crowded establishment all lit in purple,0.37071,0.64700
3173215794_6bdd1f72d4.jpg,a group of people standing in a room next to each other,Inside a bar there are people with red shirts,0.39942,0.50873
3173215794_6bdd1f72d4.jpg,a group of people standing in a room next to each other,"many people line up , and a woman texts",0.23000,0.59271
3173215794_6bdd1f72d4.jpg,a group of people standing in a room next to each other,People are waiting in a line of a dimly lit restaurant with purple light,0.35882,0.66100
3173215794_6bdd1f72d4.jpg,a group of people standing in a room next to each other,People stand in line at a place with purple lighting,0.47365,0.55870
3174726084_c108de0a64.jpg,a woman holding a large flag in her hands,A flag is carried,0.50689,0.52326
3174726084_c108de0a64.jpg,a woman holding a large flag in her hands,"A red , white , black and green flag",0.48185,0.39942
3174726084_c108de0a64.jpg,a woman holding a large flag in her hands,The flag of a country is being held in a crowd,0.50690,0.65153
3174726084_c108de0a64.jpg,a woman holding a large flag in her hands,"There is a hand in front of a red , green , white , and black flag",0.39428,0.55567
3174726084_c108de0a64.jpg,a woman holding a large flag in her hands,"There is a picture of a green , white , black , and red flag",0.27175,0.48718
3175712926_5a470d0886.jpg,a large bird flying over a lush green field,A bird is flying through the air,0.50649,0.61310
3175712926_5a470d0886.jpg,a large bird flying over a lush green field,A blue heron flying,0.54765,0.69045
3175712926_5a470d0886.jpg,a large bird flying over a lush green field,A gray egret takes flight,0.42542,0.58186
3175712926_5a470d0886.jpg,a large bird flying over a lush green field,A large bird is in mid flight,0.63016,0.60317
3175712926_5a470d0886.jpg,a large bird flying over a lush green field,A pelican flies through the air in front of trees,0.46204,0.63162
3197891333_b1b0fd1702.jpg,a family posing for a picture in front of a christmas tree,"A family of nine people , including four children , pose in front of a brick fireplace with a white mantle",0.42593,0.71593
3197891333_b1b0fd1702.jpg,a family posing for a picture in front of a christmas tree,A family poses in front of the fireplace and Christmas tree,0.76945,0.76461
3197891333_b1b0fd1702.jpg,a family posing for a picture in front of a christmas tree,A family posing by the mantle and christmas tree,0.73270,0.70225
3197891333_b1b0fd1702.jpg,a family posing for a picture in front of a christmas tree,A happy family poses by the fireplace,0.54431,0.65724
3197891333_b1b0fd1702.jpg,a family posing for a picture in front of a christmas tree,Two couples and four kids pose for a family picture,0.44812,0.57639
3527261343_efa07ea596.jpg,a man riding on the back of a red motorcycle,A male does an open leg trick while doing a wheelie on his bike,0.46806,0.69574
3527261343_efa07ea596.jpg,a man riding on the back of a red motorcycle,A man is doing a wheelie on a motorcycle while stretching his legs outwards,0.57289,0.75978
3527261343_efa07ea596.jpg,a man riding on the back of a red motorcycle,"A man with a red , black , and white jacked on is riding on a motorcycle",0.81203,0.78202
3527261343_efa07ea596.jpg,a man riding on the back of a red motorcycle,Man puts legs up in air while riding bike,0.50129,0.52628
3527261343_efa07ea596.jpg,a man riding on the back of a red motorcycle,person riding a bike doing a while,0.47927,0.73099
3560726559_4c4bed9f2d.jpg,a man and a woman holding hands in a forest,A man and a woman holding hands try to go their opposite ways,0.67391,0.75831
3560726559_4c4bed9f2d.jpg,a man and a woman holding hands in a forest,A well dressed young couple hold hands and pull in different directions in front of trees,0.50493,0.59536
3560726559_4c4bed9f2d.jpg,a man and a woman holding hands in a forest,A young boy wearing a suit and top hat is holding hands with a girl in a green dress,0.48158,0.81721
3560726559_4c4bed9f2d.jpg,a man and a woman holding hands in a forest,The man in the black suit and hat is holding the hand of the girl in the green dress whilst looking away from each other,0.37852,0.55720
3560726559_4c4bed9f2d.jpg,a man and a woman holding hands in a forest,Young couple in formal attire hold hands,0.43858,0.42103
3613955682_3860e116cf.jpg,a group of men standing on top of a soccer field,A group of players on a team are posing together,0.35572,0.75724
3613955682_3860e116cf.jpg,a group of men standing on top of a soccer field,a soccer team poses for a picture,0.51402,0.62076
3613955682_3860e116cf.jpg,a group of men standing on top of a soccer field,A soccer team wearing red posing together,0.54125,0.59963
3613955682_3860e116cf.jpg,a group of men standing on top of a soccer field,A sports team poses on the field,0.56929,0.66589
3613955682_3860e116cf.jpg,a group of men standing on top of a soccer field,Sports team poses on field with crowd in the background,0.47790,0.62974
3614595423_f9e0ab4fb0.jpg,a group of children standing on top of a tree,A bunch of kids are climbing on a tree and hamming it up,0.57067,0.69052
3614595423_f9e0ab4fb0.jpg,a group of children standing on top of a tree,Children climb a tree,0.69862,0.58766
3614595423_f9e0ab4fb0.jpg,a group of children standing on top of a tree,Children posing in a tree,0.74799,0.61956
3614595423_f9e0ab4fb0.jpg,a group of children standing on top of a tree,Eight tan children making faces in a tree,0.52238,0.59136
3614595423_f9e0ab4fb0.jpg,a group of children standing on top of a tree,"Several children are in a tree , laughing and with their hands on their chins",0.46324,0.56009
3663951804_868982f3f9.jpg,a man flying through the air while riding a skateboard,a child doing a jump on a skateboard,0.73123,0.72240
3663951804_868982f3f9.jpg,a man flying through the air while riding a skateboard,A closeup of a man skateboarding in a skate park,0.65154,0.75110
3663951804_868982f3f9.jpg,a man flying through the air while riding a skateboard,A person skateboarding at a skate park,0.62605,0.70073
3663951804_868982f3f9.jpg,a man flying through the air while riding a skateboard,A skateboarder doing a jump,0.67733,0.65207
3663951804_868982f3f9.jpg,a man flying through the air while riding a skateboard,A skateboarder executes a jump in a skate park,0.61626,0.71753
3687996279_05b5a2a706.jpg,a man in a police uniform holding up a sign,A man in a uniform smiling and waving at the camera,0.55453,0.77700
3687996279_05b5a2a706.jpg,a man in a police uniform holding up a sign,A man in a uniform waves while holding a banner during an event,0.61823,0.78796
3687996279_05b5a2a706.jpg,a man in a police uniform holding up a sign,A man in uniform waves and smiles at camera,0.54142,0.58392
3687996279_05b5a2a706.jpg,a man in a police uniform holding up a sign,A police officer waves at a street fair,0.55503,0.68951
3687996279_05b5a2a706.jpg,a man in a police uniform holding up a sign,"The man in a black uniform and hat , holding part of a banner , is waving",0.51265,0.68920
391324644_d23fdf06cb.jpg,a man riding a skateboard on top of a yellow rail,A guy on inline skates with a white hat is on a yellow rail,0.64421,0.85403
391324644_d23fdf06cb.jpg,a man riding a skateboard on top of a yellow rail,a male skater is riding a yellow rail,0.81507,0.83160
391324644_d23fdf06cb.jpg,a man riding a skateboard on top of a yellow rail,A man Rollerblades across a yellow pole at night,0.64910,0.74303
391324644_d23fdf06cb.jpg,a man riding a skateboard on top of a yellow rail,An inline skater boy balances on a yellow rail,0.69374,0.75212
391324644_d23fdf06cb.jpg,a man riding a skateboard on top of a yellow rail,A skater does a trick on a yellow handrail,0.66445,0.76415
416650559_cd08d3cd96.jpg,a man in a batman costume standing in a hall,a man dressed in a batman costume,0.84335,0.87258
416650559_cd08d3cd96.jpg,a man in a batman costume standing in a hall,A man dressed like late 80 's movie Batman,0.63786,0.37196
416650559_cd08d3cd96.jpg,a man in a batman costume standing in a hall,A man is posing dressed in a Batman costume,0.81454,0.77650
416650559_cd08d3cd96.jpg,a man in a batman costume standing in a hall,A man is wearing a Batman costume with a cape,0.77954,0.74962
416650559_cd08d3cd96.jpg,a man in a batman costume standing in a hall,A person dressed as Batman poses for a picture,0.60505,0.58606
481827288_a688be7913.jpg,two dogs playing in the water at the beach,Two brown dog play together in the water,0.70449,0.80344
481827288_a688be7913.jpg,two dogs playing in the water at the beach,Two brown dogs playing in water,0.72502,0.69654
481827288_a688be7913.jpg,two dogs playing in the water at the beach,Two dogs playing in the ocean,0.82978,0.88877
481827288_a688be7913.jpg,two dogs playing in the water at the beach,Two dogs play in the water,0.84373,0.87295
481827288_a688be7913.jpg,two dogs playing in the water at the beach,Two identical brown dogs in the water with their noses in the air,0.62312,0.76098
485738889_c2a00876a6.jpg,a couple of kids in a swimming pool,"A baby being held by a small girl , swimming underwater in a blue pool",0.53648,0.74653
485738889_c2a00876a6.jpg,a couple of kids in a swimming pool,A child supports a toddler underwater in a pool,0.63696,0.75363
485738889_c2a00876a6.jpg,a couple of kids in a swimming pool,A small girl and a toddler swimming underwater in a pool,0.65553,0.80947
485738889_c2a00876a6.jpg,a couple of kids in a swimming pool,A young girl and baby boy are swimming underwater in a pool,0.60488,0.74412
485738889_c2a00876a6.jpg,a couple of kids in a swimming pool,Two children smile underwater,0.45671,0.40195
513269597_c38308feaf.jpg,a black dog carrying a white frisbee in its mouth,A black dog carries a bucket in its mouth,0.64788,0.88413
513269597_c38308feaf.jpg,a black dog carrying a white frisbee in its mouth,A black dog carrying a hanging flower pot,0.60366,0.78273
513269597_c38308feaf.jpg,a black dog carrying a white frisbee in its mouth,A dog next to pine tree biting on a bucket,0.39370,0.61406
513269597_c38308feaf.jpg,a black dog carrying a white frisbee in its mouth,A furry black dog in a backyard carrying a basket in its mouth,0.65834,0.90559
513269597_c38308feaf.jpg,a black dog carrying a white frisbee in its mouth,A furry dog is walking by green trees while carrying something in its mouth,0.54198,0.70085
536537638_f5ee42410b.jpg,a group of women wearing red hats and scarves,A group of people wait in similar attire,0.26446,0.53643
536537638_f5ee42410b.jpg,a group of women wearing red hats and scarves,an asian girl wearing a red hat along side several others with red hats as well,0.63349,0.74628
536537638_f5ee42410b.jpg,a group of women wearing red hats and scarves,A small group of Asian women wearing red head scarves and black shirts are shopping,0.65457,0.87035
536537638_f5ee42410b.jpg,a group of women wearing red hats and scarves,five Japanese ladies wear red bandanas,0.56458,0.73233
536537638_f5ee42410b.jpg,a group of women wearing red hats and scarves,Several asian women wearing red cloths on their heads,0.55348,0.73822
566794036_60f7acdf35.jpg,a shirtless man holding a basketball on a court,A man wearing red shorts dribbles a basketball behind him,0.63853,0.74494
566794036_60f7acdf35.jpg,a shirtless man holding a basketball on a court,A man with no shirt plays basketball,0.77957,0.68101
566794036_60f7acdf35.jpg,a shirtless man holding a basketball on a court,An athlete in red shorts is caught frozen during a basketball move,0.52251,0.57833
566794036_60f7acdf35.jpg,a shirtless man holding a basketball on a court,A shirtless man in red shorts bouncing a basketball on a court,0.83619,0.88276
566794036_60f7acdf35.jpg,a shirtless man holding a basketball on a court,Man in red shorts bouncing a basketball,0.60960,0.61407
