image,original_caption,generated_caption,value1,value2
2437266971_b91a8f9a00.jpg,A man in a blue shirt and tie is wearing a white mask whilst handing out papers,A man wearing a mask holding a piece of paper,0.58653,0.82613
2437266971_b91a8f9a00.jpg,A man in a button up shirt and tie is wearing a smiling mask,A man wearing a mask holding a piece of paper,0.52317,0.81633
2437266971_b91a8f9a00.jpg,A masked man in blue shirt and a tie holding papers in front of him,A man wearing a mask holding a piece of paper,0.54122,0.78409
2437266971_b91a8f9a00.jpg,Man in business attire with Guy Fawkes mask holding paper at protest,A man wearing a mask holding a piece of paper,0.56397,0.49430
2521878609_146143708e.jpg,A person eats noodles,A young boy eating a plate of noodles with a fork,0.58253,0.67315
2521878609_146143708e.jpg,A young boy eats noodles with large utensils,A young boy eating a plate of noodles with a fork,0.77733,0.80370
2521878609_146143708e.jpg,A young boy wearing a gray shirt eats pasta,A young boy eating a plate of noodles with a fork,0.59857,0.74953
2521878609_146143708e.jpg,Boy sticks huge pile of spaghetti in mouth,A young boy eating a plate of noodles with a fork,0.54400,0.47752
2521878609_146143708e.jpg,kid eating pasta,A young boy eating a plate of noodles with a fork,0.56684,0.53500
2579268572_d78f8436cb.jpg,A group of people riding a roller coaster upside down,"A roller coaster with a bunch of people on it, outdoors",0.70362,0.79077
2579268572_d78f8436cb.jpg,A group of people riding a yellow roller coaster,"A roller coaster with a bunch of people on it, outdoors",0.63912,0.81789
2579268572_d78f8436cb.jpg,Many people on a roller coaster ride are flipped upside down over a white track,"A roller coaster with a bunch of people on it, outdoors",0.57336,0.71408
2579268572_d78f8436cb.jpg,People ride upside-down on a roller coaster,"A roller coaster with a bunch of people on it, outdoors",0.68146,0.63822
2579268572_d78f8436cb.jpg,There are multiple people going over a loop on an inverted roller coaster,"A roller coaster with a bunch of people on it, outdoors",0.61626,0.65187
2611651553_61f859837e.jpg,A naked woman with her body painted,A woman with face paint on her body,0.66492,0.82996
2611651553_61f859837e.jpg,A nude lady walks in front of a crowd in body paint,A woman with face paint on her body,0.51061,0.65068
2611651553_61f859837e.jpg,A shirtless woman with paint on her face and mud on her body,A woman with face paint on her body,0.71074,0.91914
2611651553_61f859837e.jpg,A topless woman with her face painted is covered in mud,A woman with face paint on her body,0.53242,0.76225
2611651553_61f859837e.jpg,"A young woman , topless except for paint or mud",A woman with face paint on her body,0.41195,0.51369
2683985894_167d267dcb.jpg,A clown in an orange shirt entertains a crowd,A woman dressed as a clown on a cell phone in an outdoors environment,0.50162,0.74826
2683985894_167d267dcb.jpg,A girl in a orange shirt and a stripe tie,A woman dressed as a clown on a cell phone in an outdoors environment,0.29552,0.68714
2683985894_167d267dcb.jpg,A girl in orange shirt and clown makeup stands in a park while others look on,A woman dressed as a clown on a cell phone in an outdoors environment,0.54957,0.69902
2683985894_167d267dcb.jpg,The woman dressed as a clown is performing outside for others,A woman dressed as a clown on a cell phone in an outdoors environment,0.65736,0.62853
2683985894_167d267dcb.jpg,The young lady appears to be a mime among her peers,A woman dressed as a clown on a cell phone in an outdoors environment,0.23647,0.52914
2704379125_9c35650d16.jpg,A black dog follows a group of sheep walking in a field of grass,A herd of sheep walking across a lush green field,0.66448,0.84230
2704379125_9c35650d16.jpg,a black sheepdog is guiding sheep along a grassy path,A herd of sheep walking across a lush green field,0.56550,0.77365
2704379125_9c35650d16.jpg,A dog chasing sheep down a county road,A herd of sheep walking across a lush green field,0.57406,0.71408
2704379125_9c35650d16.jpg,A sheepdog is herding sheep down a grassy path,A herd of sheep walking across a lush green field,0.61643,0.79831
2704379125_9c35650d16.jpg,Black dog following a herd of sheep down a grassy lane,A herd of sheep walking across a lush green field,0.64425,0.77466
272546805_536c719648.jpg,A brown dog and a black dog are playing tug of war with a toy,A couple of dogs standing in the dirt,0.39982,0.59287
272546805_536c719648.jpg,A large brown dog is playing tug-of-war with a large black dog,A couple of dogs standing in the dirt,0.39228,0.50035
272546805_536c719648.jpg,The brown dog and the black dog with green harnesses are in the sand,A couple of dogs standing in the dirt,0.39207,0.62265
272546805_536c719648.jpg,Two brown dogs with green harnesses play tug of war,A couple of dogs standing in the dirt,0.34425,0.53478
272546805_536c719648.jpg,Two dogs play with a toy,A couple of dogs standing in the dirt,0.43845,0.48731
2727051596_be65bfb3d3.jpg,The two children are on an amusement park ride,Two boys in a play area with a colorful umbrella,0.38756,0.43004
2727051596_be65bfb3d3.jpg,The young boy in the orange shirt is sticking his tongue out while riding a ride,Two boys in a play area with a colorful umbrella,0.24400,0.56412
2727051596_be65bfb3d3.jpg,Two boys enjoy a ride at an amusement park,Two boys in a play area with a colorful umbrella,0.49975,0.58446
2727051596_be65bfb3d3.jpg,"Two little boys playing a game , one with his mouth wide open",Two boys in a play area with a colorful umbrella,0.39804,0.72919
2727051596_be65bfb3d3.jpg,Two little boys ride in a fairground ride,Two boys in a play area with a colorful umbrella,0.47208,0.59196
2754898893_95239c1f19.jpg,A woman smiles in front of an ocean view,A woman standing on top of a lush green hillside,0.45232,0.64461
2754898893_95239c1f19.jpg,A woman standing in front of a beach scene and smiling,A woman standing on top of a lush green hillside,0.48341,0.75288
2754898893_95239c1f19.jpg,a young woman posing in front of a beautiful beach scene,A woman standing on top of a lush green hillside,0.39252,0.75974
2754898893_95239c1f19.jpg,The woman in glasses is smiling with the ocean in the background,A woman standing on top of a lush green hillside,0.32367,0.43917
2754898893_95239c1f19.jpg,Woman standing on a hill in front of the ocean,A woman standing on top of a lush green hillside,0.63529,0.79398
2771424045_1fdf9617eb.jpg,A man in blue and red face paint poses for a picture with a woman,A man and a woman with painted faces pose for a picture,0.70981,0.92187
2771424045_1fdf9617eb.jpg,A woman is being held by a man with black and red paint on his face,A man and a woman with painted faces pose for a picture,0.64788,0.79434
2771424045_1fdf9617eb.jpg,A young woman poses with a man in face paint,A man and a woman with painted faces pose for a picture,0.65382,0.88532
2771424045_1fdf9617eb.jpg,two adults hug each other,A man and a woman with painted faces pose for a picture,0.17472,0.24068
2771424045_1fdf9617eb.jpg,"Wearing identical necklaces , a woman and a man with a painted face embrace",A man and a woman with painted faces pose for a picture,0.49800,0.86807
2836360729_6500249fe6.jpg,A person buried in moss,A man is covered in seaweed on the beach,0.32845,0.63198
2836360729_6500249fe6.jpg,A woman is sitting at the beach covered by a lot of seaweed,A man is covered in seaweed on the beach,0.80589,0.77293
2836360729_6500249fe6.jpg,A woman on the beach is covered in seaweed,A man is covered in seaweed on the beach,0.87652,0.97150
2836360729_6500249fe6.jpg,A young person is buried in a pile of seaweed on a beach,A man is covered in seaweed on the beach,0.75221,0.81274
2836360729_6500249fe6.jpg,The smiling woman at the beach is buried in seaweed,A man is covered in seaweed on the beach,0.66827,0.78857
2876993733_cb26107d18.jpg,"Empty seats at a stadium , except for two people in green rain ponchos","A man in a green raincoat sitting in a stadium, surrounded by seats and chairs",0.65299,0.62997
2876993733_cb26107d18.jpg,The two people wearing green are sitting down and surrounded by empty seats,"A man in a green raincoat sitting in a stadium, surrounded by seats and chairs",0.67428,0.59735
2876993733_cb26107d18.jpg,Two lonely fans in green ponchos sit in a stadium,"A man in a green raincoat sitting in a stadium, surrounded by seats and chairs",0.62111,0.69659
2876993733_cb26107d18.jpg,Two people in green sit in an otherwise empty stadium,"A man in a green raincoat sitting in a stadium, surrounded by seats and chairs",0.62865,0.62714
2876993733_cb26107d18.jpg,Two people wearing green raincoats sit in blue bleachers that are otherwise empty,"A man in a green raincoat sitting in a stadium, surrounded by seats and chairs",0.50998,0.56348
2909609550_070eea49b5.jpg,A dog staring at the end of an ice cream cone,A small white dog eating a pastry from a person's hand,0.55872,0.64571
2909609550_070eea49b5.jpg,A shaggy white dog eyes the remaining part of an ice cream cone,A small white dog eating a pastry from a person's hand,0.57754,0.67678
2909609550_070eea49b5.jpg,A white shaggy dog wants a bite of its owners ice cream cone,A small white dog eating a pastry from a person's hand,0.52338,0.73425
2909609550_070eea49b5.jpg,Dog looking at food being held by person,A small white dog eating a pastry from a person's hand,0.45057,0.34879
2909609550_070eea49b5.jpg,The shaggy dog is looking at the last of an ice cream cone,A small white dog eating a pastry from a person's hand,0.47898,0.54516
2915538325_59e11276dd.jpg,A crowd of people in orange vests looks on as a fireball rises into the sky at an airport,A group of people standing in front of a large fire,0.45101,0.64864
2915538325_59e11276dd.jpg,A group of people watching a large explosion,A group of people standing in front of a large fire,0.70573,0.83410
2915538325_59e11276dd.jpg,A group of people wearing orange vests watch a large fire near a helicopter,A group of people standing in front of a large fire,0.57413,0.78466
2915538325_59e11276dd.jpg,People dressed in hi viz jackets are watching a helicopter fly past an explosion,A group of people standing in front of a large fire,0.28281,0.52580
2915538325_59e11276dd.jpg,The crowd is watching the fiery explosion,A group of people standing in front of a large fire,0.45983,0.36251
2925577165_b83d31a7f6.jpg,A minivan drives through a deep puddle of water on the road,A city street at night with cars driving on it,0.35827,0.62212
2925577165_b83d31a7f6.jpg,A minivan splashing through a flooded parking lot on a rainy night,A city street at night with cars driving on it,0.32874,0.64560
2925577165_b83d31a7f6.jpg,A rainy road at night,A city street at night with cars driving on it,0.52556,0.67806
2925577165_b83d31a7f6.jpg,Lights are reflecting off a city street in the evening during a rain storm,A city street at night with cars driving on it,0.53971,0.60958
2925577165_b83d31a7f6.jpg,"Minivan drives down wet urban street at night , splashing water",A city street at night with cars driving on it,0.38850,0.67192
2998277360_9b4c0192f1.jpg,"A man in a yellow slicker holds a sign saying "" down and out """,A woman sitting on a curb holding a sign,0.42408,0.66072
2998277360_9b4c0192f1.jpg,"An elderly lady in a yellow raincoat is sitting by a white building , holding up a cardboard sign to a car driving by",A woman sitting on a curb holding a sign,0.46762,0.77205
2998277360_9b4c0192f1.jpg,Elderly woman in yellow parka pan handling,A woman sitting on a curb holding a sign,0.27251,0.34621
2998277360_9b4c0192f1.jpg,Man with a yellow coat and a cardboard sign,A woman sitting on a curb holding a sign,0.25475,0.67057
2998277360_9b4c0192f1.jpg,"Older woman in yellow jacket , holds sign saying "" DOWN AND OUT "" in urban area",A woman sitting on a curb holding a sign,0.28622,0.25953
3004290523_d1319dfdb4.jpg,A man in a cast uses a camcorder while another man watches him,A man holding a camera up to his face,0.48554,0.73370
3004290523_d1319dfdb4.jpg,A man makes a video while another watches,A man holding a camera up to his face,0.49481,0.67117
3004290523_d1319dfdb4.jpg,A man with a cast films some video while another man smiles,A man holding a camera up to his face,0.40970,0.65583
3004290523_d1319dfdb4.jpg,A man with a cast is using a camcorder to record an enjoyable event,A man holding a camera up to his face,0.27959,0.66089
3004290523_d1319dfdb4.jpg,A man with an arm cast films something on video while another man is looking at the camera,A man holding a camera up to his face,0.53915,0.62104
3004291093_35d6fd8548.jpg,A man has bleached tips in his Afro style hair and is on a cellphone,A man with dreadlocks talking on a cell phone,0.58008,0.70916
3004291093_35d6fd8548.jpg,A man with black hair and blonde tips talks on his cellphone,A man with dreadlocks talking on a cell phone,0.59625,0.76550
3004291093_35d6fd8548.jpg,A man with crazy hair is sitting with his fingers in his ears,A man with dreadlocks talking on a cell phone,0.47249,0.64798
3004291093_35d6fd8548.jpg,A man with dreadlocks is plugging his ear to hear a phone call,A man with dreadlocks talking on a cell phone,0.71075,0.79250
3004291093_35d6fd8548.jpg,A person with lots of hair and a Pac-man jacket is making a phone call,A man with dreadlocks talking on a cell phone,0.36439,0.73818
3021318991_fa28e3bca7.jpg,A female lawn hockey player hitting the ball,A woman in an orange uniform playing field hockey on a grassy field,0.64459,0.72632
3021318991_fa28e3bca7.jpg,A girl in an orange uniform hits a ball in field hockey,A woman in an orange uniform playing field hockey on a grassy field,0.85175,0.87992
3021318991_fa28e3bca7.jpg,A girl in orange is hitting the ball in field hockey,A woman in an orange uniform playing field hockey on a grassy field,0.72626,0.76690
3021318991_fa28e3bca7.jpg,An athletic girl in an orange uniform is on a playing field of green grass and swinging at a ball,A woman in an orange uniform playing field hockey on a grassy field,0.77563,0.89318
3021318991_fa28e3bca7.jpg,A woman hockey player in an orange strip is striking the ball with her stick,A woman in an orange uniform playing field hockey on a grassy field,0.66665,0.72645
3037558954_20115165e3.jpg,A man is wind sailing in the ocean,A man riding a wind sail on top of a body of water,0.72485,0.70763
3037558954_20115165e3.jpg,A man stands on a sailboat in the water,A man riding a wind sail on top of a body of water,0.64757,0.78912
3037558954_20115165e3.jpg,A man windsurfs near the beach,A man riding a wind sail on top of a body of water,0.37362,0.60505
3037558954_20115165e3.jpg,A person is windsurfing in the water,A man riding a wind sail on top of a body of water,0.53407,0.62447
3037558954_20115165e3.jpg,A wind-surfer in near the beach,A man riding a wind sail on top of a body of water,0.32323,0.40559
3039214579_43ef79f931.jpg,A man in a yellow helmet is walking with a yellow bicycle near a group a of protesters,A man standing next to a yellow bicycle in an outdoors environment,0.62322,0.76714
3039214579_43ef79f931.jpg,A man is walking alongside a yellow bike on a sidewalk,A man standing next to a yellow bicycle in an outdoors environment,0.71312,0.73596
3039214579_43ef79f931.jpg,A man on a street with his yellow bike,A man standing next to a yellow bicycle in an outdoors environment,0.69056,0.70487
3039214579_43ef79f931.jpg,A man wearing a yellow and black helmet walks with his yellow bike,A man standing next to a yellow bicycle in an outdoors environment,0.58822,0.66679
3039214579_43ef79f931.jpg,a man wearing a yellow bike helmet walking his yellow bike along a sidewalk,A man standing next to a yellow bicycle in an outdoors environment,0.65397,0.71767
307994435_592f933a6d.jpg,A man in a red jacket is holding a piece of paper while posing,A man in a red jacket giving a thumbs up,0.69145,0.83721
307994435_592f933a6d.jpg,An Asian guy giving thumbs up with his eyes closed and tongue out,A man in a red jacket giving a thumbs up,0.45341,0.54100
307994435_592f933a6d.jpg,An Asian teenager in a red jacket has his thumb up and his tongue sticking out,A man in a red jacket giving a thumbs up,0.62541,0.70343
307994435_592f933a6d.jpg,Asian man giving thumbs up on street,A man in a red jacket giving a thumbs up,0.49909,0.57585
307994435_592f933a6d.jpg,Man in red jacket giving a thumbs-up with one hand a holding ticket in other,A man in a red jacket giving a thumbs up,0.68132,0.80307
3102204862_f1d220230b.jpg,A man is throwing another around in a wrestling ring,"Two men wrestling in a ring with a crowd watching. Sport, stage, performance space, performance, men, competition, and strength are the main elements in this image",0.47928,0.41339
3102204862_f1d220230b.jpg,A wrestler is being held in the air by another man in the ring,"Two men wrestling in a ring with a crowd watching. Sport, stage, performance space, performance, men, competition, and strength are the main elements in this image",0.49001,0.45466
3102204862_f1d220230b.jpg,A wrestler is being lifted off the ground by another wrestler,"Two men wrestling in a ring with a crowd watching. Sport, stage, performance space, performance, men, competition, and strength are the main elements in this image",0.39423,0.37980
3102204862_f1d220230b.jpg,Professional wrestler getting flipped by another,"Two men wrestling in a ring with a crowd watching. Sport, stage, performance space, performance, men, competition, and strength are the main elements in this image",0.32291,0.13195
3102204862_f1d220230b.jpg,Two people are in a wrestling match,"Two men wrestling in a ring with a crowd watching. Sport, stage, performance space, performance, men, competition, and strength are the main elements in this image",0.42644,0.46304
3102363657_dc95fe6850.jpg,A boy hugging a bumble bee character,"A person in a bee costume holding a child, outdoors, in winter, smiling and having fun",0.48366,0.67354
3102363657_dc95fe6850.jpg,A child hugging a person in a large bee costume,"A person in a bee costume holding a child, outdoors, in winter, smiling and having fun",0.63150,0.81243
3102363657_dc95fe6850.jpg,A giant bee costume hugs a boy,"A person in a bee costume holding a child, outdoors, in winter, smiling and having fun",0.53975,0.63276
3102363657_dc95fe6850.jpg,A little boy hugging a giant bee mascot,"A person in a bee costume holding a child, outdoors, in winter, smiling and having fun",0.45085,0.58601
3102363657_dc95fe6850.jpg,"Small boy hugged by person in bee costume , blurry urban background","A person in a bee costume holding a child, outdoors, in winter, smiling and having fun",0.50063,0.46418
3139238055_2817a0c7d8.jpg,Four people make a silly pose at the dinner table,A group of smiling men and women sitting around a table,0.37708,0.58236
3139238055_2817a0c7d8.jpg,Four people smile and hold golden plates behind their heads,A group of smiling men and women sitting around a table,0.39671,0.48339
3139238055_2817a0c7d8.jpg,friends posing for a picture while holding plates,A group of smiling men and women sitting around a table,0.30480,0.58567
3139238055_2817a0c7d8.jpg,Two men and two women hold gold plates behind their heads,A group of smiling men and women sitting around a table,0.48924,0.55330
3139238055_2817a0c7d8.jpg,Two men and women pose for a camera with large gold plates held behind their heads,A group of smiling men and women sitting around a table,0.46544,0.63494
3148193539_de9dd48fc8.jpg,Three boys all wearing green shirts are climbing on a slide,A group of young men riding on the back of a bus,0.25505,0.55961
3148193539_de9dd48fc8.jpg,Three boys climb on a slide,A group of young men riding on the back of a bus,0.35898,0.58820
3148193539_de9dd48fc8.jpg,Three boys in green shirts and khaki pants are at the top of a slide,A group of young men riding on the back of a bus,0.22280,0.60450
3148193539_de9dd48fc8.jpg,Three boys wearing green shirts and tan pants pose at the top of a slide,A group of young men riding on the back of a bus,0.20679,0.58374
3148193539_de9dd48fc8.jpg,Three children are posing on a playground slide,A group of young men riding on the back of a bus,0.23942,0.54274
3169777863_d745865784.jpg,A group of dancers wearing black spandex are dancing in a studio,"A group of young women standing next to each other, dancing indoors",0.56980,0.50804
3169777863_d745865784.jpg,"A group of men and women in a dancing studio , their arms reaching to the sky","A group of young women standing next to each other, dancing indoors",0.50936,0.66388
3169777863_d745865784.jpg,Men and women in a dance class,"A group of young women standing next to each other, dancing indoors",0.52398,0.58983
3169777863_d745865784.jpg,Men and women in dark shorts and tops are stretching their hands to the ceiling,"A group of young women standing next to each other, dancing indoors",0.23605,0.49616
3169777863_d745865784.jpg,Several women and men are lifting their arms straight up above their heads,"A group of young women standing next to each other, dancing indoors",0.27018,0.45776
3173215794_6bdd1f72d4.jpg,A woman concentrates on the device in her hand in the midst of a crowded establishment all lit in purple,A group of men and women standing in a room next to each other at night,0.39505,0.61542
3173215794_6bdd1f72d4.jpg,Inside a bar there are people with red shirts,A group of men and women standing in a room next to each other at night,0.31530,0.50126
3173215794_6bdd1f72d4.jpg,"many people line up , and a woman texts",A group of men and women standing in a room next to each other at night,0.30601,0.62345
3173215794_6bdd1f72d4.jpg,People are waiting in a line of a dimly lit restaurant with purple light,A group of men and women standing in a room next to each other at night,0.35520,0.60699
3173215794_6bdd1f72d4.jpg,People stand in line at a place with purple lighting,A group of men and women standing in a room next to each other at night,0.36049,0.57657
3174726084_c108de0a64.jpg,A flag is carried,A woman holding a large flag in her hands,0.50689,0.54979
3174726084_c108de0a64.jpg,"A red , white , black and green flag",A woman holding a large flag in her hands,0.48185,0.39648
3174726084_c108de0a64.jpg,The flag of a country is being held in a crowd,A woman holding a large flag in her hands,0.50690,0.63429
3174726084_c108de0a64.jpg,"There is a hand in front of a red , green , white , and black flag",A woman holding a large flag in her hands,0.39428,0.53166
3174726084_c108de0a64.jpg,"There is a picture of a green , white , black , and red flag",A woman holding a large flag in her hands,0.27175,0.46070
3175712926_5a470d0886.jpg,A bird is flying through the air,A large bird flying over a lush green field,0.50649,0.62219
3175712926_5a470d0886.jpg,A blue heron flying,A large bird flying over a lush green field,0.54765,0.72952
3175712926_5a470d0886.jpg,A gray egret takes flight,A large bird flying over a lush green field,0.42542,0.60808
3175712926_5a470d0886.jpg,A large bird is in mid flight,A large bird flying over a lush green field,0.63016,0.61662
3175712926_5a470d0886.jpg,A pelican flies through the air in front of trees,A large bird flying over a lush green field,0.46204,0.63426
3197891333_b1b0fd1702.jpg,"A family of nine people , including four children , pose in front of a brick fireplace with a white mantle",A family posing for a picture in front of a Christmas tree,0.42593,0.71094
3197891333_b1b0fd1702.jpg,A family poses in front of the fireplace and Christmas tree,A family posing for a picture in front of a Christmas tree,0.76945,0.79125
3197891333_b1b0fd1702.jpg,A family posing by the mantle and christmas tree,A family posing for a picture in front of a Christmas tree,0.73270,0.67973
3197891333_b1b0fd1702.jpg,A happy family poses by the fireplace,A family posing for a picture in front of a Christmas tree,0.54431,0.65524
3197891333_b1b0fd1702.jpg,Two couples and four kids pose for a family picture,A family posing for a picture in front of a Christmas tree,0.44812,0.57722
3527261343_efa07ea596.jpg,A male does an open leg trick while doing a wheelie on his bike,A man riding on the back of a red motorcycle,0.46806,0.69373
3527261343_efa07ea596.jpg,A man is doing a wheelie on a motorcycle while stretching his legs outwards,A man riding on the back of a red motorcycle,0.57289,0.75884
3527261343_efa07ea596.jpg,"A man with a red , black , and white jacked on is riding on a motorcycle",A man riding on the back of a red motorcycle,0.81203,0.77553
3527261343_efa07ea596.jpg,Man puts legs up in air while riding bike,A man riding on the back of a red motorcycle,0.50129,0.53447
3527261343_efa07ea596.jpg,person riding a bike doing a while,A man riding on the back of a red motorcycle,0.47927,0.72371
3560726559_4c4bed9f2d.jpg,A man and a woman holding hands try to go their opposite ways,A man and a woman holding hands in a forest,0.67391,0.75792
3560726559_4c4bed9f2d.jpg,A well dressed young couple hold hands and pull in different directions in front of trees,A man and a woman holding hands in a forest,0.50493,0.59942
3560726559_4c4bed9f2d.jpg,A young boy wearing a suit and top hat is holding hands with a girl in a green dress,A man and a woman holding hands in a forest,0.48158,0.80868
3560726559_4c4bed9f2d.jpg,The man in the black suit and hat is holding the hand of the girl in the green dress whilst looking away from each other,A man and a woman holding hands in a forest,0.37852,0.53668
3560726559_4c4bed9f2d.jpg,Young couple in formal attire hold hands,A man and a woman holding hands in a forest,0.43858,0.41382
3613955682_3860e116cf.jpg,A group of players on a team are posing together,"A group of men standing on top of a soccer field, playing a competitive sport",0.35572,0.74037
3613955682_3860e116cf.jpg,a soccer team poses for a picture,"A group of men standing on top of a soccer field, playing a competitive sport",0.49891,0.67324
3613955682_3860e116cf.jpg,A soccer team wearing red posing together,"A group of men standing on top of a soccer field, playing a competitive sport",0.53545,0.63606
3613955682_3860e116cf.jpg,A sports team poses on the field,"A group of men standing on top of a soccer field, playing a competitive sport",0.57315,0.69112
3613955682_3860e116cf.jpg,Sports team poses on field with crowd in the background,"A group of men standing on top of a soccer field, playing a competitive sport",0.51993,0.54897
3614595423_f9e0ab4fb0.jpg,A bunch of kids are climbing on a tree and hamming it up,A group of children standing on top of a tree,0.57067,0.68620
3614595423_f9e0ab4fb0.jpg,Children climb a tree,A group of children standing on top of a tree,0.69862,0.58298
3614595423_f9e0ab4fb0.jpg,Children posing in a tree,A group of children standing on top of a tree,0.74799,0.60282
3614595423_f9e0ab4fb0.jpg,Eight tan children making faces in a tree,A group of children standing on top of a tree,0.52238,0.58278
3614595423_f9e0ab4fb0.jpg,"Several children are in a tree , laughing and with their hands on their chins",A group of children standing on top of a tree,0.46324,0.53231
3663951804_868982f3f9.jpg,a child doing a jump on a skateboard,"A man flying through the air while riding a skateboard, performing extreme sports and stunts outdoors",0.53032,0.59378
3663951804_868982f3f9.jpg,A closeup of a man skateboarding in a skate park,"A man flying through the air while riding a skateboard, performing extreme sports and stunts outdoors",0.57686,0.62614
3663951804_868982f3f9.jpg,A person skateboarding at a skate park,"A man flying through the air while riding a skateboard, performing extreme sports and stunts outdoors",0.55451,0.60515
3663951804_868982f3f9.jpg,A skateboarder doing a jump,"A man flying through the air while riding a skateboard, performing extreme sports and stunts outdoors",0.50511,0.55018
3663951804_868982f3f9.jpg,A skateboarder executes a jump in a skate park,"A man flying through the air while riding a skateboard, performing extreme sports and stunts outdoors",0.54759,0.57405
3687996279_05b5a2a706.jpg,A man in a uniform smiling and waving at the camera,A man in a police uniform holding up a sign,0.55453,0.78077
3687996279_05b5a2a706.jpg,A man in a uniform waves while holding a banner during an event,A man in a police uniform holding up a sign,0.61823,0.78853
3687996279_05b5a2a706.jpg,A man in uniform waves and smiles at camera,A man in a police uniform holding up a sign,0.54142,0.60030
3687996279_05b5a2a706.jpg,A police officer waves at a street fair,A man in a police uniform holding up a sign,0.55503,0.70153
3687996279_05b5a2a706.jpg,"The man in a black uniform and hat , holding part of a banner , is waving",A man in a police uniform holding up a sign,0.51265,0.67494
391324644_d23fdf06cb.jpg,A guy on inline skates with a white hat is on a yellow rail,A man riding a skateboard on top of a yellow rail,0.64421,0.84651
391324644_d23fdf06cb.jpg,a male skater is riding a yellow rail,A man riding a skateboard on top of a yellow rail,0.81507,0.81199
391324644_d23fdf06cb.jpg,A man Rollerblades across a yellow pole at night,A man riding a skateboard on top of a yellow rail,0.64910,0.76056
391324644_d23fdf06cb.jpg,An inline skater boy balances on a yellow rail,A man riding a skateboard on top of a yellow rail,0.69374,0.75016
391324644_d23fdf06cb.jpg,A skater does a trick on a yellow handrail,A man riding a skateboard on top of a yellow rail,0.66445,0.76276
416650559_cd08d3cd96.jpg,a man dressed in a batman costume,A man in a Batman costume standing in a hall,0.84335,0.81489
416650559_cd08d3cd96.jpg,A man dressed like late 80 's movie Batman,A man in a Batman costume standing in a hall,0.63786,0.43746
416650559_cd08d3cd96.jpg,A man is posing dressed in a Batman costume,A man in a Batman costume standing in a hall,0.81454,0.81733
416650559_cd08d3cd96.jpg,A man is wearing a Batman costume with a cape,A man in a Batman costume standing in a hall,0.77954,0.77131
416650559_cd08d3cd96.jpg,A person dressed as Batman poses for a picture,A man in a Batman costume standing in a hall,0.60505,0.63243
481827288_a688be7913.jpg,Two brown dog play together in the water,Two dogs playing in the water at the beach,0.70449,0.80004
481827288_a688be7913.jpg,Two brown dogs playing in water,Two dogs playing in the water at the beach,0.72502,0.70848
481827288_a688be7913.jpg,Two dogs playing in the ocean,Two dogs playing in the water at the beach,0.82978,0.89587
